CD_GEOCMU,Nome Município,Estado,Agrupamento,Conjunto,Condição
3305604,SILVA JARDIM,Rio de Janeiro,Cachoeiras do Macuco,Sem conjunto,Meta
3305703,SUMIDOURO,Rio de Janeiro,Sapucaia,Sem conjunto,Meta
3305752,TANGUÁ,Rio de Janeiro,Rio Bonito,Sem conjunto,Meta
3305802,TERESÓPOLIS,Rio de Janeiro,Luz da Serra,RJ01,1º Marco
3305901,TRAJANO DE MORAES,Rio de Janeiro,Macuco,Sem conjunto,Meta
3306008,TRÊS RIOS,Rio de Janeiro,Sapucaia,Sem conjunto,Meta
3306107,VALENÇA,Rio de Janeiro,Vassouras,Sem conjunto,Meta
3306206,VASSOURAS,Rio de Janeiro,Vassouras,Sem conjunto,Meta
3306305,VOLTA REDONDA,Rio de Janeiro,Resende,Sem conjunto,Meta
3305554,SEROPÉDICA,Rio de Janeiro,Rio de Janeiro,RJ01,1º Marco
3305109,SÃO JOÃO DE MERITI,Rio de Janeiro,Nova Iguaçu,RJ01,1º Marco
3303203,NILÓPOLIS,Rio de Janeiro,Nova Iguaçu,RJ01,1º Marco
3301702,DUQUE DE CAXIAS,Rio de Janeiro,Duque de Caxias,Sem conjunto,Meta
3302007,ITAGUAÍ,Rio de Janeiro,Rio de Janeiro,RJ01,1º Marco
3302858,MESQUITA,Rio de Janeiro,Nova Iguaçu,RJ01,1º Marco
3303500,NOVA IGUAÇU,Rio de Janeiro,Nova Iguaçu,RJ01,1º Marco
3304557,RIO DE JANEIRO,Rio de Janeiro,Rio de Janeiro,RJ01,1º Marco
3300605,BOM JESUS DO ITABAPOANA,Rio de Janeiro,Miracema,Sem conjunto,Meta
3301009,CAMPOS DOS GOYTACAZES,Rio de Janeiro,Campos,Sem conjunto,Meta
3304102,PORCIÚNCULA,Rio de Janeiro,Miracema,Sem conjunto,Meta
3304755,SÃO FRANCISCO DE ITABAPOANA,Rio de Janeiro,Campos,Sem conjunto,Meta
3306156,VARRE-SAI,Rio de Janeiro,Miracema,Sem conjunto,Meta
3100104,ABADIA DOS DOURADOS,Minas Gerais,,Sem conjunto,
3100203,ABAETÉ,Minas Gerais,Três Marias,Sem conjunto,Meta
3100302,ABRE CAMPO,Minas Gerais,Manhuaçu,Sem conjunto,Meta
3100401,ACAIACA,Minas Gerais,Ponte Nova,Sem conjunto,Meta
3100500,AÇUCENA,Minas Gerais,Ipatinga,Sem conjunto,Meta
3100609,ÁGUA BOA,Minas Gerais,Peçanha,Sem conjunto,Meta
3100708,ÁGUA COMPRIDA,Minas Gerais,,Sem conjunto,
3100807,AGUANIL,Minas Gerais,Campo Belo,Sem conjunto,Meta
3100906,ÁGUAS FORMOSAS,Minas Gerais,Nanuque,Sem conjunto,Meta
3101003,ÁGUAS VERMELHAS,Minas Gerais,Salinas,Sem conjunto,Meta
3101102,AIMORÉS,Minas Gerais,Aimorés,Sem conjunto,Meta
3101201,AIURUOCA,Minas Gerais,Andrelândia,Sem conjunto,Meta
3101300,ALAGOA,Minas Gerais,Cambuquira,MG01,1º Marco
3101409,ALBERTINA,Minas Gerais,Jacutinga,SP07,1º Marco
3101508,ALÉM PARAÍBA,Minas Gerais,Cataguases,Sem conjunto,Meta
3101607,ALFENAS,Minas Gerais,Alfenas,SP07,1º Marco
3101631,ALFREDO VASCONCELOS,Minas Gerais,Barbacena,Sem conjunto,Meta
3101706,ALMENARA,Minas Gerais,Almenara,Sem conjunto,Meta
3101805,ALPERCATA,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3101904,ALPINÓPOLIS,Minas Gerais,Passos,Sem conjunto,Meta
3102001,ALTEROSA,Minas Gerais,Alfenas,SP07,1º Marco
3102050,ALTO CAPARAÓ,Minas Gerais,Manhuaçu,Sem conjunto,Meta
3153509,ALTO JEQUITIBÁ,Minas Gerais,Manhuaçu,Sem conjunto,Meta
3102100,ALTO RIO DOCE,Minas Gerais,Teixeiras,Sem conjunto,Meta
3102209,ALVARENGA,Minas Gerais,Aimorés,Sem conjunto,Meta
3102308,ALVINÓPOLIS,Minas Gerais,Itabira,Sem conjunto,Meta
3102407,ALVORADA DE MINAS,Minas Gerais,Conceição do Mato Dentro,Sem conjunto,Meta
3102506,AMPARO DO SERRA,Minas Gerais,Teixeiras,Sem conjunto,Meta
3102605,ANDRADAS,Minas Gerais,Jacutinga,SP07,1º Marco
3102803,ANDRELÂNDIA,Minas Gerais,Andrelândia,Sem conjunto,Meta
3102852,ANGELÂNDIA,Minas Gerais,Capelinha,Sem conjunto,Meta
3102902,ANTÔNIO CARLOS,Minas Gerais,Barbacena,Sem conjunto,Meta
3103009,ANTÔNIO DIAS,Minas Gerais,Ipatinga,Sem conjunto,Meta
3103108,ANTÔNIO PRADO DE MINAS,Minas Gerais,Muriaé,Sem conjunto,Meta
3103207,ARAÇAÍ,Minas Gerais,Sete Lagoas,MG03,1º Marco
3103306,ARACITABA,Minas Gerais,Santos Dumont,Sem conjunto,Meta
3103405,ARAÇUAÍ,Minas Gerais,Araçuaí,Sem conjunto,Meta
3103504,ARAGUARI,Minas Gerais,,Sem conjunto,
3103603,ARANTINA,Minas Gerais,Andrelândia,Sem conjunto,Meta
3103702,ARAPONGA,Minas Gerais,Teixeiras,Sem conjunto,Meta
3103751,ARAPORÃ,Minas Gerais,,Sem conjunto,
3103801,ARAPUÁ,Minas Gerais,,Sem conjunto,
3103900,ARAÚJOS,Minas Gerais,Bom Despacho,MG03,1º Marco
3104007,ARAXÁ,Minas Gerais,,Sem conjunto,
3104106,ARCEBURGO,Minas Gerais,São Sebastião do Paraíso,Sem conjunto,Meta
3104205,ARCOS,Minas Gerais,Formiga,Sem conjunto,Meta
3104304,AREADO,Minas Gerais,Alfenas,SP07,1º Marco
3104403,ARGIRITA,Minas Gerais,Cataguases,Sem conjunto,Meta
3104452,ARICANDUVA,Minas Gerais,Capelinha,Sem conjunto,Meta
3104502,ARINOS,Minas Gerais,Unaí,Sem conjunto,Meta
3104601,ASTOLFO DUTRA,Minas Gerais,Ubá,Sem conjunto,Meta
3104700,ATALÉIA,Minas Gerais,Teófilo Otoni,Sem conjunto,Meta
3104809,AUGUSTO DE LIMA,Minas Gerais,Curvelo,Sem conjunto,Meta
3104908,BAEPENDI,Minas Gerais,Cambuquira,MG01,1º Marco
3105004,BALDIM,Minas Gerais,Sete Lagoas,MG03,1º Marco
3105103,BAMBUÍ,Minas Gerais,Piuí,Sem conjunto,Meta
3105202,BANDEIRA,Minas Gerais,Almenara,Sem conjunto,Meta
3105301,BANDEIRA DO SUL,Minas Gerais,Jacutinga,SP07,1º Marco
3105400,BARÃO DE COCAIS,Minas Gerais,Itabira,Sem conjunto,Meta
3105509,BARÃO DE MONTE ALTO,Minas Gerais,Muriaé,Sem conjunto,Meta
3105608,BARBACENA,Minas Gerais,Barbacena,Sem conjunto,Meta
3105707,BARRA LONGA,Minas Gerais,Ponte Nova,Sem conjunto,Meta
3105905,BARROSO,Minas Gerais,Barbacena,Sem conjunto,Meta
3106002,BELA VISTA DE MINAS,Minas Gerais,Itabira,Sem conjunto,Meta
3106101,BELMIRO BRAGA,Minas Gerais,Matias Barbosa,Sem conjunto,Meta
3106200,BELO HORIZONTE,Minas Gerais,Belo Horizonte,MG01,1º Marco
3106309,BELO ORIENTE,Minas Gerais,Ipatinga,Sem conjunto,Meta
3106408,BELO VALE,Minas Gerais,Itaguara,Sem conjunto,Meta
3106507,BERILO,Minas Gerais,Capelinha,Sem conjunto,Meta
3106655,BERIZAL,Minas Gerais,Salinas,Sem conjunto,Meta
3106606,BERTÓPOLIS,Minas Gerais,Nanuque,Sem conjunto,Meta
3106705,BETIM,Minas Gerais,Horizonte de Glória,MG03,2º Marco
3106804,BIAS FORTES,Minas Gerais,Minas de Esplendor,MG01,2º Marco
3106903,BICAS,Minas Gerais,Minas de Esplendor,MG01,2º Marco
3107000,BIQUINHAS,Minas Gerais,Três Marias,Sem conjunto,Meta
3107109,BOA ESPERANÇA,Minas Gerais,Varginha,Sem conjunto,Meta
3107208,BOCAINA DE MINAS,Minas Gerais,Andrelândia,Sem conjunto,Meta
3107307,BOCAIÚVA,Minas Gerais,Bocaiúva,Sem conjunto,Meta
3107406,BOM DESPACHO,Minas Gerais,Bom Despacho,MG03,1º Marco
3107505,BOM JARDIM DE MINAS,Minas Gerais,Andrelândia,Sem conjunto,Meta
3107604,BOM JESUS DA PENHA,Minas Gerais,Passos,Sem conjunto,Meta
3107703,BOM JESUS DO AMPARO,Minas Gerais,Itabira,Sem conjunto,Meta
3107802,BOM JESUS DO GALHO,Minas Gerais,Caratinga,MG01,1º Marco
3107901,BOM REPOUSO,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3108008,BOM SUCESSO,Minas Gerais,Oliveira,Sem conjunto,Meta
3108107,BONFIM,Minas Gerais,Itaguara,Sem conjunto,Meta
3108206,BONFINÓPOLIS DE MINAS,Minas Gerais,Unaí,Sem conjunto,Meta
3108255,BONITO DE MINAS,Minas Gerais,Januária,Sem conjunto,Meta
3108305,BORDA DA MATA,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3108404,BOTELHOS,Minas Gerais,Jacutinga,SP07,1º Marco
3108503,BOTUMIRIM,Minas Gerais,Grão Mogol,Sem conjunto,Meta
3108701,BRÁS PIRES,Minas Gerais,Teixeiras,Sem conjunto,Meta
3108552,BRASILÂNDIA DE MINAS,Minas Gerais,Paracatu,Sem conjunto,Meta
3108602,BRASÍLIA DE MINAS,Minas Gerais,Montes Claros,Sem conjunto,Meta
3108800,BRAÚNAS,Minas Gerais,Guanhães,Sem conjunto,Meta
3108909,BRAZÓPOLIS,Minas Gerais,Itajubá,Sem conjunto,Meta
3109006,BRUMADINHO,Minas Gerais,Horizonte de Glória,MG03,2º Marco
3109105,BUENO BRANDÃO,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3109204,BUENÓPOLIS,Minas Gerais,Curvelo,Sem conjunto,Meta
3109253,BUGRE,Minas Gerais,Caratinga,MG01,1º Marco
3109303,BURITIS,Minas Gerais,Unaí,Sem conjunto,Meta
3109402,BURITIZEIRO,Minas Gerais,Buritizeiro,MG02,1º Marco
3109451,CABECEIRA GRANDE,Minas Gerais,Unaí,Sem conjunto,Meta
3109501,CABO VERDE,Minas Gerais,São Sebastião do Paraíso,Sem conjunto,Meta
3109600,CACHOEIRA DA PRATA,Minas Gerais,Sete Lagoas,MG03,1º Marco
3109709,CACHOEIRA DE MINAS,Minas Gerais,Santa Rita do Sapucaí,Sem conjunto,Meta
3102704,CACHOEIRA DE PAJEÚ,Minas Gerais,Pedra Azul,Sem conjunto,Meta
3109808,CACHOEIRA DOURADA,Minas Gerais,,Sem conjunto,
3109907,CAETANÓPOLIS,Minas Gerais,Sete Lagoas,MG03,1º Marco
3110004,CAETÉ,Minas Gerais,Belo Horizonte,MG01,1º Marco
3110103,CAIANA,Minas Gerais,Muriaé,Sem conjunto,Meta
3110202,CAJURI,Minas Gerais,Teixeiras,Sem conjunto,Meta
3110301,CALDAS,Minas Gerais,Jacutinga,SP07,1º Marco
3110400,CAMACHO,Minas Gerais,Formiga,Sem conjunto,Meta
3110509,CAMANDUCAIA,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3110608,CAMBUÍ,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3110707,CAMBUQUIRA,Minas Gerais,Cambuquira,MG01,1º Marco
3110806,CAMPANÁRIO,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3110905,CAMPANHA,Minas Gerais,Varginha,Sem conjunto,Meta
3111002,CAMPESTRE,Minas Gerais,Jacutinga,SP07,1º Marco
3111101,CAMPINA VERDE,Minas Gerais,,Sem conjunto,
3111150,CAMPO AZUL,Minas Gerais,Montes Claros,Sem conjunto,Meta
3111200,CAMPO BELO,Minas Gerais,Campo Belo,Sem conjunto,Meta
3111309,CAMPO DO MEIO,Minas Gerais,Varginha,Sem conjunto,Meta
3111408,CAMPO FLORIDO,Minas Gerais,,Sem conjunto,
3111507,CAMPOS ALTOS,Minas Gerais,,Sem conjunto,
3111606,CAMPOS GERAIS,Minas Gerais,Varginha,Sem conjunto,Meta
3111903,CANA VERDE,Minas Gerais,Campo Belo,Sem conjunto,Meta
3111705,CANAÃ,Minas Gerais,Teixeiras,Sem conjunto,Meta
3111804,CANÁPOLIS,Minas Gerais,,Sem conjunto,
3112000,CANDEIAS,Minas Gerais,Campo Belo,Sem conjunto,Meta
3112059,CANTAGALO,Minas Gerais,Peçanha,Sem conjunto,Meta
3112109,CAPARAÓ,Minas Gerais,Manhuaçu,Sem conjunto,Meta
3112208,CAPELA NOVA,Minas Gerais,Barbacena,Sem conjunto,Meta
3112307,CAPELINHA,Minas Gerais,Capelinha,Sem conjunto,Meta
3112406,CAPETINGA,Minas Gerais,Passos,Sem conjunto,Meta
3112505,CAPIM BRANCO,Minas Gerais,Sete Lagoas,MG03,1º Marco
3112604,CAPINÓPOLIS,Minas Gerais,,Sem conjunto,
3112653,CAPITÃO ANDRADE,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3112703,CAPITÃO ENÉAS,Minas Gerais,Montes Claros,Sem conjunto,Meta
3112802,CAPITÓLIO,Minas Gerais,Passos,Sem conjunto,Meta
3112901,CAPUTIRA,Minas Gerais,Manhuaçu,Sem conjunto,Meta
3113008,CARAÍ,Minas Gerais,Araçuaí,Sem conjunto,Meta
3113107,CARANAÍBA,Minas Gerais,Barbacena,Sem conjunto,Meta
3113206,CARANDAÍ,Minas Gerais,Barbacena,Sem conjunto,Meta
3113305,CARANGOLA,Minas Gerais,Muriaé,Sem conjunto,Meta
3113404,CARATINGA,Minas Gerais,Caratinga,MG01,1º Marco
3113503,CARBONITA,Minas Gerais,Capelinha,Sem conjunto,Meta
3113602,CAREAÇU,Minas Gerais,Santa Rita do Sapucaí,Sem conjunto,Meta
3113701,CARLOS CHAGAS,Minas Gerais,Nanuque,Sem conjunto,Meta
3113800,CARMÉSIA,Minas Gerais,Guanhães,Sem conjunto,Meta
3113909,CARMO DA CACHOEIRA,Minas Gerais,Varginha,Sem conjunto,Meta
3114006,CARMO DA MATA,Minas Gerais,Oliveira,Sem conjunto,Meta
3114105,CARMO DE MINAS,Minas Gerais,Cambuquira,MG01,1º Marco
3114204,CARMO DO CAJURU,Minas Gerais,Divinópolis,MG03,1º Marco
3114303,CARMO DO PARANAÍBA,Minas Gerais,,Sem conjunto,
3114402,CARMO DO RIO CLARO,Minas Gerais,Alfenas,SP07,1º Marco
3114501,CARMÓPOLIS DE MINAS,Minas Gerais,Oliveira,Sem conjunto,Meta
3114550,CARNEIRINHO,Minas Gerais,,Sem conjunto,
3114600,CARRANCAS,Minas Gerais,Lavras,Sem conjunto,Meta
3114709,CARVALHÓPOLIS,Minas Gerais,Alfenas,SP07,1º Marco
3114808,CARVALHOS,Minas Gerais,Andrelândia,Sem conjunto,Meta
3114907,CASA GRANDE,Minas Gerais,Conselheiro Lafaiete,Sem conjunto,Meta
3115003,CASCALHO RICO,Minas Gerais,,Sem conjunto,
3115102,CÁSSIA,Minas Gerais,Passos,Sem conjunto,Meta
3115300,CATAGUASES,Minas Gerais,Cataguases,Sem conjunto,Meta
3115359,CATAS ALTAS,Minas Gerais,Itabira,Sem conjunto,Meta
3115409,CATAS ALTAS DA NORUEGA,Minas Gerais,Conselheiro Lafaiete,Sem conjunto,Meta
3115458,CATUJI,Minas Gerais,Teófilo Otoni,Sem conjunto,Meta
3115474,CATUTI,Minas Gerais,Janaúba,Sem conjunto,Meta
3115508,CAXAMBU,Minas Gerais,Cambuquira,MG01,1º Marco
3115607,CEDRO DO ABAETÉ,Minas Gerais,Três Marias,Sem conjunto,Meta
3115706,CENTRAL DE MINAS,Minas Gerais,Mantena,Sem conjunto,Meta
3115805,CENTRALINA,Minas Gerais,,Sem conjunto,
3115904,CHÁCARA,Minas Gerais,Minas de Esplendor,MG01,2º Marco
3116001,CHALÉ,Minas Gerais,Manhuaçu,Sem conjunto,Meta
3116100,CHAPADA DO NORTE,Minas Gerais,Capelinha,Sem conjunto,Meta
3116159,CHAPADA GAÚCHA,Minas Gerais,Januária,Sem conjunto,Meta
3116209,CHIADOR,Minas Gerais,Matias Barbosa,Sem conjunto,Meta
3116308,CIPOTÂNEA,Minas Gerais,Teixeiras,Sem conjunto,Meta
3116407,CLARAVAL,Minas Gerais,Passos,Sem conjunto,Meta
3116506,CLARO DOS POÇÕES,Minas Gerais,Montes Claros,Sem conjunto,Meta
3116605,CLÁUDIO,Minas Gerais,Divinópolis,MG03,1º Marco
3116704,COIMBRA,Minas Gerais,Teixeiras,Sem conjunto,Meta
3116803,COLUNA,Minas Gerais,Guanhães,Sem conjunto,Meta
3116902,COMENDADOR GOMES,Minas Gerais,,Sem conjunto,
3117009,COMERCINHO,Minas Gerais,Pedra Azul,Sem conjunto,Meta
3117108,CONCEIÇÃO DA APARECIDA,Minas Gerais,Alfenas,SP07,1º Marco
3115201,CONCEIÇÃO DA BARRA DE MINAS,Minas Gerais,Tiradentes,Sem conjunto,Meta
3117306,CONCEIÇÃO DAS ALAGOAS,Minas Gerais,,Sem conjunto,
3117207,CONCEIÇÃO DAS PEDRAS,Minas Gerais,Santa Rita do Sapucaí,Sem conjunto,Meta
3117405,CONCEIÇÃO DE IPANEMA,Minas Gerais,Aimorés,Sem conjunto,Meta
3117504,CONCEIÇÃO DO MATO DENTRO,Minas Gerais,Conceição do Mato Dentro,Sem conjunto,Meta
3117603,CONCEIÇÃO DO PARÁ,Minas Gerais,Divinópolis,MG03,1º Marco
3117702,CONCEIÇÃO DO RIO VERDE,Minas Gerais,Cambuquira,MG01,1º Marco
3117801,CONCEIÇÃO DOS OUROS,Minas Gerais,Santa Rita do Sapucaí,Sem conjunto,Meta
3117836,CÔNEGO MARINHO,Minas Gerais,Januária,Sem conjunto,Meta
3117876,CONFINS,Minas Gerais,Lagoa Santa,MG01,Incipiente
3117900,CONGONHAL,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3118007,CONGONHAS,Minas Gerais,Conselheiro Lafaiete,Sem conjunto,Meta
3118106,CONGONHAS DO NORTE,Minas Gerais,Conceição do Mato Dentro,Sem conjunto,Meta
3118205,CONQUISTA,Minas Gerais,,Sem conjunto,
3118304,CONSELHEIRO LAFAIETE,Minas Gerais,Conselheiro Lafaiete,Sem conjunto,Meta
3118403,CONSELHEIRO PENA,Minas Gerais,Aimorés,Sem conjunto,Meta
3118502,CONSOLAÇÃO,Minas Gerais,Itajubá,Sem conjunto,Meta
3118601,CONTAGEM,Minas Gerais,Horizonte de Glória,MG03,2º Marco
3118700,COQUEIRAL,Minas Gerais,Varginha,Sem conjunto,Meta
3118809,CORAÇÃO DE JESUS,Minas Gerais,Montes Claros,Sem conjunto,Meta
3118908,CORDISBURGO,Minas Gerais,Sete Lagoas,MG03,1º Marco
3119005,CORDISLÂNDIA,Minas Gerais,Santa Rita do Sapucaí,Sem conjunto,Meta
3119104,CORINTO,Minas Gerais,Curvelo,Sem conjunto,Meta
3119203,COROACI,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3119302,COROMANDEL,Minas Gerais,,Sem conjunto,
3119401,CORONEL FABRICIANO,Minas Gerais,Ipatinga,Sem conjunto,Meta
3119500,CORONEL MURTA,Minas Gerais,Araçuaí,Sem conjunto,Meta
3119609,CORONEL PACHECO,Minas Gerais,Minas de Esplendor,MG01,2º Marco
3119708,CORONEL XAVIER CHAVES,Minas Gerais,Tiradentes,Sem conjunto,Meta
3119807,CÓRREGO DANTA,Minas Gerais,Piuí,Sem conjunto,Meta
3119906,CÓRREGO DO BOM JESUS,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3119955,CÓRREGO FUNDO,Minas Gerais,Formiga,Sem conjunto,Meta
3120003,CÓRREGO NOVO,Minas Gerais,Caratinga,MG01,1º Marco
3120102,COUTO DE MAGALHÃES DE MINAS,Minas Gerais,Diamantina,Sem conjunto,Meta
3120151,CRISÓLITA,Minas Gerais,Nanuque,Sem conjunto,Meta
3120201,CRISTAIS,Minas Gerais,Campo Belo,Sem conjunto,Meta
3120300,CRISTÁLIA,Minas Gerais,Grão Mogol,Sem conjunto,Meta
3120409,CRISTIANO OTONI,Minas Gerais,Conselheiro Lafaiete,Sem conjunto,Meta
3120508,CRISTINA,Minas Gerais,Itajubá,Sem conjunto,Meta
3120607,CRUCILÂNDIA,Minas Gerais,Itaguara,Sem conjunto,Meta
3120706,CRUZEIRO DA FORTALEZA,Minas Gerais,,Sem conjunto,
3120805,CRUZÍLIA,Minas Gerais,Andrelândia,Sem conjunto,Meta
3120839,CUPARAQUE,Minas Gerais,Aimorés,Sem conjunto,Meta
3120870,CURRAL DE DENTRO,Minas Gerais,Salinas,Sem conjunto,Meta
3120904,CURVELO,Minas Gerais,Curvelo,Sem conjunto,Meta
3121001,DATAS,Minas Gerais,Diamantina,Sem conjunto,Meta
3121100,DELFIM MOREIRA,Minas Gerais,Itajubá,Sem conjunto,Meta
3121209,DELFINÓPOLIS,Minas Gerais,Passos,Sem conjunto,Meta
3121258,DELTA,Minas Gerais,,Sem conjunto,
3121308,DESCOBERTO,Minas Gerais,Minas de Esplendor,MG01,2º Marco
3121407,DESTERRO DE ENTRE RIOS,Minas Gerais,Conselheiro Lafaiete,Sem conjunto,Meta
3121506,DESTERRO DO MELO,Minas Gerais,Barbacena,Sem conjunto,Meta
3121605,DIAMANTINA,Minas Gerais,Diamantina,Sem conjunto,Meta
3121704,DIOGO DE VASCONCELOS,Minas Gerais,Ouro Preto,Sem conjunto,Meta
3121803,DIONÍSIO,Minas Gerais,Itabira,Sem conjunto,Meta
3121902,DIVINÉSIA,Minas Gerais,Ubá,Sem conjunto,Meta
3122009,DIVINO,Minas Gerais,Muriaé,Sem conjunto,Meta
3122108,DIVINO DAS LARANJEIRAS,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3122207,DIVINOLÂNDIA DE MINAS,Minas Gerais,Guanhães,Sem conjunto,Meta
3122306,DIVINÓPOLIS,Minas Gerais,Divinópolis,MG03,1º Marco
3122355,DIVISA ALEGRE,Minas Gerais,Salinas,Sem conjunto,Meta
3122405,DIVISA NOVA,Minas Gerais,Alfenas,SP07,1º Marco
3122454,DIVISÓPOLIS,Minas Gerais,Almenara,Sem conjunto,Meta
3122470,DOM BOSCO,Minas Gerais,Unaí,Sem conjunto,Meta
3122504,DOM CAVATI,Minas Gerais,Caratinga,MG01,1º Marco
3122603,DOM JOAQUIM,Minas Gerais,Conceição do Mato Dentro,Sem conjunto,Meta
3122702,DOM SILVÉRIO,Minas Gerais,Ponte Nova,Sem conjunto,Meta
3122801,DOM VIÇOSO,Minas Gerais,Itajubá,Sem conjunto,Meta
3122900,DONA EUSÉBIA,Minas Gerais,Cataguases,Sem conjunto,Meta
3123007,DORES DE CAMPOS,Minas Gerais,Tiradentes,Sem conjunto,Meta
3123106,DORES DE GUANHÃES,Minas Gerais,Guanhães,Sem conjunto,Meta
3123205,DORES DO INDAIÁ,Minas Gerais,Bom Despacho,MG03,1º Marco
3123304,DORES DO TURVO,Minas Gerais,Ubá,Sem conjunto,Meta
3123403,DORESÓPOLIS,Minas Gerais,Piuí,Sem conjunto,Meta
3123502,DOURADOQUARA,Minas Gerais,,Sem conjunto,
3123528,DURANDÉ,Minas Gerais,Manhuaçu,Sem conjunto,Meta
3123601,ELÓI MENDES,Minas Gerais,Varginha,Sem conjunto,Meta
3123700,ENGENHEIRO CALDAS,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3123809,ENGENHEIRO NAVARRO,Minas Gerais,Bocaiúva,Sem conjunto,Meta
3123858,ENTRE FOLHAS,Minas Gerais,Caratinga,MG01,1º Marco
3123908,ENTRE RIOS DE MINAS,Minas Gerais,Conselheiro Lafaiete,Sem conjunto,Meta
3124005,ERVÁLIA,Minas Gerais,Teixeiras,Sem conjunto,Meta
3124104,ESMERALDAS,Minas Gerais,Horizonte de Glória,MG03,2º Marco
3124203,ESPERA FELIZ,Minas Gerais,Muriaé,Sem conjunto,Meta
3124302,ESPINOSA,Minas Gerais,Janaúba,Sem conjunto,Meta
3124401,ESPÍRITO SANTO DO DOURADO,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3124500,ESTIVA,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3124609,ESTRELA DALVA,Minas Gerais,Cataguases,Sem conjunto,Meta
3124708,ESTRELA DO INDAIÁ,Minas Gerais,Bom Despacho,MG03,1º Marco
3124807,ESTRELA DO SUL,Minas Gerais,,Sem conjunto,
3124906,EUGENÓPOLIS,Minas Gerais,Muriaé,Sem conjunto,Meta
3125002,EWBANK DA CÂMARA,Minas Gerais,Minas de Esplendor,MG01,2º Marco
3125101,EXTREMA,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3125200,FAMA,Minas Gerais,Alfenas,SP07,1º Marco
3125309,FARIA LEMOS,Minas Gerais,Muriaé,Sem conjunto,Meta
3125408,FELÍCIO DOS SANTOS,Minas Gerais,Diamantina,Sem conjunto,Meta
3125606,FELISBURGO,Minas Gerais,Almenara,Sem conjunto,Meta
3125705,FELIXLÂNDIA,Minas Gerais,Curvelo,Sem conjunto,Meta
3125804,FERNANDES TOURINHO,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3125903,FERROS,Minas Gerais,Itabira,Sem conjunto,Meta
3125952,FERVEDOURO,Minas Gerais,Muriaé,Sem conjunto,Meta
3126000,FLORESTAL,Minas Gerais,Pará de Minas,Sem conjunto,Meta
3126109,FORMIGA,Minas Gerais,Formiga,Sem conjunto,Meta
3126208,FORMOSO,Minas Gerais,Unaí,Sem conjunto,Meta
3126307,FORTALEZA DE MINAS,Minas Gerais,Passos,Sem conjunto,Meta
3126406,FORTUNA DE MINAS,Minas Gerais,Sete Lagoas,MG03,1º Marco
3126505,FRANCISCO BADARÓ,Minas Gerais,Capelinha,Sem conjunto,Meta
3126604,FRANCISCO DUMONT,Minas Gerais,Bocaiúva,Sem conjunto,Meta
3126703,FRANCISCO SÁ,Minas Gerais,Montes Claros,Sem conjunto,Meta
3126752,FRANCISCÓPOLIS,Minas Gerais,Teófilo Otoni,Sem conjunto,Meta
3126802,FREI GASPAR,Minas Gerais,Teófilo Otoni,Sem conjunto,Meta
3126901,FREI INOCÊNCIO,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3126950,FREI LAGONEGRO,Minas Gerais,Peçanha,Sem conjunto,Meta
3127008,FRONTEIRA,Minas Gerais,,Sem conjunto,
3127057,FRONTEIRA DOS VALES,Minas Gerais,Nanuque,Sem conjunto,Meta
3127073,FRUTA DE LEITE,Minas Gerais,Salinas,Sem conjunto,Meta
3127107,FRUTAL,Minas Gerais,,Sem conjunto,
3127206,FUNILÂNDIA,Minas Gerais,Sete Lagoas,MG03,1º Marco
3127305,GALILÉIA,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3127339,GAMELEIRAS,Minas Gerais,Janaúba,Sem conjunto,Meta
3127354,GLAUCILÂNDIA,Minas Gerais,Montes Claros,Sem conjunto,Meta
3127370,GOIABEIRA,Minas Gerais,Aimorés,Sem conjunto,Meta
3127388,GOIANÁ,Minas Gerais,Minas de Esplendor,MG01,2º Marco
3127404,GONÇALVES,Minas Gerais,Pouso Alegre,Sem conjunto,Meta
3127503,GONZAGA,Minas Gerais,Guanhães,Sem conjunto,Meta
3127602,GOUVEIA,Minas Gerais,Diamantina,Sem conjunto,Meta
3127701,GOVERNADOR VALADARES,Minas Gerais,Governador Valadares,Sem conjunto,Meta
3127800,GRÃO MOGOL,Minas Gerais,Grão Mogol,Sem conjunto,Meta
3127909,GRUPIARA,Minas Gerais,,Sem conjunto,
3128006,GUANHÃES,Minas Gerais,Guanhães,Sem conjunto,Meta
