CD_GEOCMU,Nome Município,Estado,Agrupamento,Conjunto,Condição
3515103,EMBU-GUAÇU,São Paulo,Caminhos,SP04,1º Marco
3515004,EMBU DAS ARTES,São Paulo,Caminhos,SP04,1º Marco
3515129,EMILIANÓPOLIS,São Paulo,Presidente Prudente,SP01,1º Marco
3515152,ENGENHEIRO COELHO,São Paulo,Mogi Mirim,SP07,1º Marco
3515186,ESPÍRITO SANTO DO PINHAL,São Paulo,Aguaí ,Sem conjunto,Meta
3515194,ESPÍRITO SANTO DO TURVO,São Paulo,Ourinhos,Sem conjunto,Meta
3557303,ESTIVA GERBI,São Paulo,Rio de Vida Eterna,SP07,2º Marco
3515202,ESTRELA D'OESTE,São Paulo,Fernandópolis,Sem conjunto,Meta
3515301,ESTRELA DO NORTE,São Paulo,Presidente Prudente,SP01,1º Marco
3515350,EUCLIDES DA CUNHA PAULISTA,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3515400,FARTURA,São Paulo,Avaré,Sem conjunto,Meta
3515608,FERNANDO PRESTES,São Paulo,Itápolis,Sem conjunto,Meta
3515509,FERNANDÓPOLIS,São Paulo,Fernandópolis,Sem conjunto,Meta
3515657,FERNÃO,São Paulo,Pompéia,Sem conjunto,Meta
3515707,FERRAZ DE VASCONCELOS,São Paulo,Mogi das Cruzes,SP04,1º Marco
3515806,FLORA RICA,São Paulo,Adamantina,Sem conjunto,Meta
3515905,FLOREAL,São Paulo,Votuporanga,Sem conjunto,Meta
3516002,FLÓRIDA PAULISTA,São Paulo,Adamantina,Sem conjunto,Meta
3516101,FLORÍNIA,São Paulo,Assis,Sem conjunto,Meta
3516200,FRANCA,São Paulo,Franca,Sem conjunto,Meta
3516309,FRANCISCO MORATO,São Paulo,Guarulhos,SP04,Incipiente
3516408,FRANCO DA ROCHA,São Paulo,Cajamar,SP06,1º Marco
3516507,GABRIEL MONTEIRO,São Paulo,Araçatuba,Sem conjunto,Meta
3516606,GÁLIA,São Paulo,Pompéia,Sem conjunto,Meta
3516705,GARÇA,São Paulo,Pompéia,Sem conjunto,Meta
3516804,GASTÃO VIDIGAL,São Paulo,Auriflama,Sem conjunto,Meta
3516853,GAVIÃO PEIXOTO,São Paulo,Araraquara,Sem conjunto,Meta
3516903,GENERAL SALGADO,São Paulo,Auriflama,Sem conjunto,Meta
3517000,GETULINA,São Paulo,Lins,SP01,1º Marco
3517109,GLICÉRIO,São Paulo,Penápolis,Sem conjunto,Meta
3517208,GUAIÇARA,São Paulo,Lins,SP01,1º Marco
3517307,GUAIMBÊ,São Paulo,Lins,SP01,1º Marco
3517406,GUAÍRA,São Paulo,Centelha da Fé,SP02,2º Marco
3517505,GUAPIAÇU,São Paulo,São José do Rio Preto,SP02,Incipiente
3517604,GUAPIARA,São Paulo,Ribeira,Sem conjunto,Meta
3517703,GUARÁ,São Paulo,São Joaquim da Barra,Sem conjunto,Meta
3517802,GUARAÇAÍ,São Paulo,Andradina,SP02,1º Marco
3517901,GUARACI,São Paulo,Centelha da Fé,SP02,2º Marco
3518008,GUARANI D'OESTE,São Paulo,Fernandópolis,Sem conjunto,Meta
3518107,GUARANTÃ,São Paulo,Lins,SP01,1º Marco
3518206,GUARARAPES,São Paulo,Araçatuba,Sem conjunto,Meta
3518305,GUARAREMA,São Paulo,Mogi das Cruzes,SP04,1º Marco
3518404,GUARATINGUETÁ,São Paulo,Guaratinguetá,SP04,1º Marco
3518503,GUAREÍ,São Paulo,Tatuí ,Sem conjunto,Meta
3518602,GUARIBA,São Paulo,Araraquara,Sem conjunto,Meta
3518701,GUARUJÁ,São Paulo,Baixada,Sem conjunto,Meta
3518800,GUARULHOS,São Paulo,Guarulhos,SP04,Incipiente
3518859,GUATAPARÁ,São Paulo,Luz de Deus,SP03,1º Marco
3518909,GUZOLÂNDIA,São Paulo,Ilha Solteira,Sem conjunto,Meta
3519006,HERCULÂNDIA,São Paulo,Tupã,SP01,1º Marco
3519055,HOLAMBRA,São Paulo,Mogi Mirim,SP07,1º Marco
3519071,HORTOLÂNDIA,São Paulo,Campinas,SP06,1º Marco
3519105,IACANGA,São Paulo,Fênix Dourada,SP01,2º Marco
3519204,IACRI,São Paulo,Tupã,SP01,1º Marco
3519253,IARAS,São Paulo,Avaré,Sem conjunto,Meta
3519303,IBATÉ,São Paulo,Sol Divino,SP03,2º Marco
3519402,IBIRÁ,São Paulo,São José do Rio Preto,SP02,Incipiente
3519501,IBIRAREMA,São Paulo,Assis,Sem conjunto,Meta
3519600,IBITINGA,São Paulo,Itápolis,Sem conjunto,Meta
3519709,IBIÚNA,São Paulo,Sorocaba,SP05,1º Marco
3519808,ICÉM,São Paulo,Tanabi,Sem conjunto,Meta
3519907,IEPÊ,São Paulo,Rancharia,Sem conjunto,Meta
3520004,IGARAÇU DO TIETÊ,São Paulo,Jaú,Sem conjunto,Meta
3520103,IGARAPAVA,São Paulo,Ituverava,Sem conjunto,Meta
3520202,IGARATÁ,São Paulo,Estrela do Vale,SP04,2º Marco
3520301,IGUAPE,São Paulo,Litoral Sul,Sem conjunto,Meta
3520426,ILHA COMPRIDA,São Paulo,Litoral Sul,Sem conjunto,Meta
3520442,ILHA SOLTEIRA,São Paulo,Ilha Solteira,Sem conjunto,Meta
3520400,ILHABELA,São Paulo,Litoral Norte,Sem conjunto,Meta
3520509,INDAIATUBA,São Paulo,Indaiatuba,SP05,1º Marco
3520608,INDIANA,São Paulo,Presidente Prudente,SP01,1º Marco
3520707,INDIAPORÃ,São Paulo,Fernandópolis,Sem conjunto,Meta
3520806,INÚBIA PAULISTA,São Paulo,Adamantina,Sem conjunto,Meta
3520905,IPAUSSU,São Paulo,Ourinhos,Sem conjunto,Meta
3521002,IPERÓ,São Paulo,Sorocaba,SP05,1º Marco
3521101,IPEÚNA,São Paulo,Rio Claro,SP07,Incipiente
3521150,IPIGUÁ,São Paulo,São José do Rio Preto,SP02,Incipiente
3521200,IPORANGA,São Paulo,Ribeira,Sem conjunto,Meta
3521309,IPUÃ,São Paulo,São Joaquim da Barra,Sem conjunto,Meta
3521408,IRACEMÁPOLIS,São Paulo,Limeira,SP08,1º Marco
3521507,IRAPUÃ,São Paulo,Catanduva,Sem conjunto,Meta
3521606,IRAPURU,São Paulo,Adamantina,Sem conjunto,Meta
3521705,ITABERÁ,São Paulo,Itaberá,Sem conjunto,Meta
3521804,ITAÍ,São Paulo,Avaré,Sem conjunto,Meta
3521903,ITAJOBI,São Paulo,Catanduva,Sem conjunto,Meta
3522000,ITAJU,São Paulo,Jaú,Sem conjunto,Meta
3522109,ITANHAÉM,São Paulo,Baixada,Sem conjunto,Meta
3522158,ITAÓCA,São Paulo,Ribeira,Sem conjunto,Meta
3522208,ITAPECERICA DA SERRA,São Paulo,Caminhos,SP04,1º Marco
3522307,ITAPETININGA,São Paulo,Tatuí ,Sem conjunto,Meta
3522406,ITAPEVA,São Paulo,Itaberá,Sem conjunto,Meta
3522505,ITAPEVI,São Paulo,Caminhos,SP04,1º Marco
3522604,ITAPIRA,São Paulo,Rio de Vida Eterna,SP07,2º Marco
3522653,ITAPIRAPUÃ PAULISTA,São Paulo,Ribeira,Sem conjunto,Meta
3522703,ITÁPOLIS,São Paulo,Itápolis,Sem conjunto,Meta
3522802,ITAPORANGA,São Paulo,Avaré,Sem conjunto,Meta
3522901,ITAPUÍ,São Paulo,Jaú,Sem conjunto,Meta
3523008,ITAPURA,São Paulo,Ilha Solteira,Sem conjunto,Meta
3523107,ITAQUAQUECETUBA,São Paulo,Mogi das Cruzes,SP04,1º Marco
3523206,ITARARÉ,São Paulo,Itaberá,Sem conjunto,Meta
3523305,ITARIRI,São Paulo,Litoral Sul,Sem conjunto,Meta
3523404,ITATIBA,São Paulo,Itatiba,SP06,1º Marco
3523503,ITATINGA,São Paulo,Botucatu,Sem conjunto,Meta
3523602,ITIRAPINA,São Paulo,Pirassununga,Sem conjunto,Meta
3523701,ITIRAPUÃ,São Paulo,Franca,Sem conjunto,Meta
3523800,ITOBI,São Paulo,Aguaí,Sem conjunto,Meta
3523909,ITU,São Paulo,Rouxinol,SP05,2º Marco
3524006,ITUPEVA,São Paulo,Indaiatuba,SP05,1º Marco
3524105,ITUVERAVA,São Paulo,Ituverava,Sem conjunto,Meta
3524204,JABORANDI,São Paulo,Centelha da Fé,SP02,2º Marco
3524303,JABOTICABAL,São Paulo,Jaboticabal,SP03,1º Marco
3524402,JACAREÍ,São Paulo,Estrela do Vale,SP04,2º Marco
3524501,JACI,São Paulo,São José do Rio Preto,SP02,Incipiente
3524600,JACUPIRANGA,São Paulo,Registro,Sem conjunto,Meta
3524709,JAGUARIÁNA,São Paulo,Campinas,SP06,1º Marco
3524808,JALES,São Paulo,Jales,Sem conjunto,Meta
3524907,JAMBEIRO,São Paulo,Estrela do Vale,SP04,2º Marco
3525003,JANDIRA,São Paulo,Caminhos,SP04,1º Marco
3525102,JARDINÓPOLIS,São Paulo,Luz de Deus,SP03,1º Marco
3525201,JARINU,São Paulo,Jarinu,SP06,1º Marco
3525300,JAÚ,São Paulo,Jaú,Sem conjunto,Meta
3525409,JERIQUARA,São Paulo,Franca,Sem conjunto,Meta
3525508,JOANÓPOLIS,São Paulo,Jarinu,SP06,1º Marco
3525607,JOÃO RAMALHO,São Paulo,Tupã,SP01,1º Marco
3525706,JOSÉ BONIFÁCIO,São Paulo,José Bonifácio,Sem conjunto,Meta
3525805,JÚLIO MESQUITA,São Paulo,Pompéia,Sem conjunto,Meta
3525854,JUMIRIM,São Paulo,Rouxinol,SP05,2º Marco
3525904,JUNDIAÍ,São Paulo,Jundiaí,SP06,1º Marco
3526001,JUNQUEIRÓPOLIS,São Paulo,Tupi Paulista,Sem conjunto,Meta
3526100,JUQUIÁ,São Paulo,Litoral Sul,Sem conjunto,Meta
3526209,JUQUITIBA,São Paulo,Caminhos,SP04,1º Marco
3526308,LAGOINHA,São Paulo,Campos do Jordão,Sem conjunto,Meta
3526407,LARANJAL PAULISTA,São Paulo,Botucatu,Sem conjunto,Meta
3526506,LAVÍNIA,São Paulo,Andradina,SP02,1º Marco
3526605,LAVRINHAS,São Paulo,Cruzeiro,Sem conjunto,Meta
3526704,LEME,São Paulo,Pirassununga,Sem conjunto,Meta
3526803,LENÇÓIS PAULISTA,São Paulo,Fênix Dourada,SP01,2º Marco
3526902,LIMEIRA,São Paulo,Limeira,SP08,1º Marco
3527009,LINDÓIA,São Paulo,Amparo,SP07,1º Marco
3527108,LINS,São Paulo,Lins,SP01,1º Marco
3527207,LORENA,São Paulo,Guaratinguetá,SP04,1º Marco
3527256,LOURDES,São Paulo,Auriflama,Sem conjunto,Meta
3527306,LOUVEIRA,São Paulo,Itatiba,SP06,1º Marco
3527405,LUCÉLIA,São Paulo,Adamantina,Sem conjunto,Meta
3527504,LUCIANÓPOLIS,São Paulo,Fênix Dourada,SP01,2º Marco
3527603,LUÍS ANTÔNIO,São Paulo,Luz de Deus,SP03,1º Marco
3527702,LUIZIÂNIA,São Paulo,Penápolis,Sem conjunto,Meta
3527801,LUPÉRCIO,São Paulo,Pompéia,Sem conjunto,Meta
3527900,LUTÉCIA,São Paulo,Assis,Sem conjunto,Meta
3528007,MACATUBA,São Paulo,Fênix Dourada,SP01,2º Marco
3528106,MACAUBAL,São Paulo,Votuporanga,Sem conjunto,Meta
3528205,MACEDÔNIA,São Paulo,Fernandópolis,Sem conjunto,Meta
3528304,MAGDA,São Paulo,Votuporanga,Sem conjunto,Meta
3528403,MAIRINQUE,São Paulo,Sorocaba,SP05,1º Marco
3528502,MAIRIPORÃ,São Paulo,Guarulhos,SP04,Incipiente
3528601,MANDURI,São Paulo,Avaré,Sem conjunto,Meta
3528700,MARABÁ PAULISTA,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3528809,MARACAÍ,São Paulo,Assis,Sem conjunto,Meta
3528858,MARAPOAMA,São Paulo,Catanduva,Sem conjunto,Meta
3528908,MARIÁPOLIS,São Paulo,Adamantina,Sem conjunto,Meta
3529005,MARÍLIA,São Paulo,Pompéia,Sem conjunto,Meta
3529104,MARINÓPOLIS,São Paulo,Jales,Sem conjunto,Meta
3529203,MARTINÓPOLIS,São Paulo,Rancharia,Sem conjunto,Meta
3529302,MATÃO,São Paulo,Araraquara,Sem conjunto,Meta
3529401,MAUÁ,São Paulo,Mauá,SP04,1º Marco
3529500,MENDONÇA,São Paulo,José Bonifácio,Sem conjunto,Meta
3529609,MERIDIANO,São Paulo,Fernandópolis,Sem conjunto,Meta
3529658,MESÓPOLIS,São Paulo,Fernandópolis,Sem conjunto,Meta
3529708,MIGUELÓPOLIS,São Paulo,Ituverava,Sem conjunto,Meta
3529807,MINEIROS DO TIETÊ,São Paulo,Jaú,Sem conjunto,Meta
3530003,MIRA ESTRELA,São Paulo,Fernandópolis,Sem conjunto,Meta
3529906,MIRACATU,São Paulo,Litoral Sul,Sem conjunto,Meta
3530102,MIRANDÓPOLIS,São Paulo,Andradina,SP02,1º Marco
3530201,MIRANTE DO PARANAPANEMA,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3530300,MIRASSOL,São Paulo,São José do Rio Preto,SP02,Incipiente
3530409,MIRASSOLÂNDIA,São Paulo,Tanabi,Sem conjunto,Meta
3530508,MOCOCA,São Paulo,Aguaí,Sem conjunto,Meta
3530607,MOGI DAS CRUZES,São Paulo,Mogi das Cruzes,SP04,1º Marco
3530706,MOGI GUAÇU,São Paulo,Rio de Vida Eterna,SP07,2º Marco
3530805,MOGI MIRIM,São Paulo,Mogi Mirim,SP07,1º Marco
3530904,MOMBUCA,São Paulo,Piracicaba,SP08,1º Marco
